Time,Sensor0Temp,Sensor1Temp,ThermostatMode
1641264517.4493818,68.18,68.0,0
1641264533.9320042,68.18,68.0,3
1641264550.049644,68.18,68.0,3
1641264566.008111,68.18,68.0,3
1641264581.965701,68.18,68.0,3
1641264597.915312,68.18,68.0,1
1641264613.984629,68.18,68.0,1
1641264630.3535821,68.18,68.0,1
1641264645.872478,68.18,68.0,1
1641264677.884341,68.18,68.0,1
1641264695.413815,68.18,68.0,1
1641264710.961432,68.18,68.18,1
1641264727.386066,68.18,68.18,1
1641264742.9047942,68.18,68.18,1
1641264758.898433,68.18,68.18,1
1641264774.430223,68.18,68.18,1
1641264804.5398211,68.18,68.18,1
1641264820.059813,68.18,68.18,1
1641264836.372811,68.18,68.18,2
1641264852.163029,68.18,68.18,1
1641264867.9509802,68.18,68.18,3
1641264883.734227,68.18,68.18,0
1641264899.263359,68.18,68.18,0
1641264914.7797592,68.18,68.18,0
1641264930.297593,68.18,68.18,0
1641264945.822212,68.18,68.18,0
1641264961.3448782,68.36,68.18,0
1641264976.866403,68.18,68.18,0
1641264992.388839,68.18,68.18,0
1641265007.90907,68.18,68.18,0
1641265023.700215,68.18,68.18,3
1641265039.253463,68.18,68.18,1
1641265054.777049,68.18,68.18,1
1641265272.003534,68.18,68.0,1
1641265313.9537401,68.18,68.0,1
1641265329.4723861,68.18,68.0,1
1641265344.996446,68.18,68.0,1
1641265360.5214,68.18,68.0,1
1641265376.037466,68.18,68.0,1
1641273552.606058,66.2,67.1,0
1641273568.123211,66.2,67.1,0
1641273583.639298,66.2,67.1,0
1641273599.3242571,66.2,67.1,0
1641273615.362249,66.2,67.1,3
1641273640.308032,66.02,67.1,0
1641273657.941845,66.02,67.1,2
1641273673.556469,66.02,67.1,2
1641273688.99974,66.02,67.1,2
1641273704.525719,66.02,67.1,2
1641273720.0457768,66.02,67.1,2
1641273736.862846,66.02,67.1,2
1641273753.26815,66.02,67.1,2
1641273769.050327,66.02,67.1,2
1641273784.5762188,66.02,66.92,2
1641273800.0983381,66.02,66.92,2
1641273815.6157691,66.02,67.1,2
1641273831.631305,66.02,66.92,2
1641273847.999512,66.02,67.1,2
